Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2017/18,Mar-18,Northern,Mid-Ulster,Type 3,869,0,0,869
2017/18,Mar-18,South Eastern,Ards MIU,Type 3,"1,001.00",0,0,"1,001.00"
2017/18,Mar-18,South Eastern,Bangor MIU,Type 3,803,0,0,803
2017/18,Mar-18,South Eastern,Downe,Type 2,"1,743.00",198,65,"2,006.00"
2017/18,Mar-18,South Eastern,Lagan Valley,Type 2,"1,708.00",480,57,"2,245.00"
2017/18,Mar-18,South Eastern,Ulster,Type 1,"4,557.00","2,823.00",726,"8,106.00"
2017/18,Mar-18,Southern,Craigavon Area,Type 1,"3,967.00","2,902.00",538,"7,407.00"
2017/18,Mar-18,Southern,Daisy Hill,Type 1,"3,139.00","1,450.00",146,"4,735.00"
2017/18,Mar-18,Southern,South Tyrone,Type 3,"2,597.00",1,0,"2,598.00"
2017/18,Mar-18,Western,Altnagelvin Area,Type 1,"3,820.00","1,838.00",140,"5,798.00"
2017/18,Mar-18,Western,South West Acute,Type 1,"1,809.00","1,151.00",149,"3,109.00"
2017/18,Mar-18,Western,Tyrone County,Type 3,"1,427.00",34,0,"1,461.00"
2018/19,Apr-18,Belfast,Mater,Type 1,"2,727.00","1,127.00",120,"3,974.00"
2018/19,Apr-18,Belfast,Royal Victoria,Type 1,"4,429.00","3,120.00",174,"7,723.00"
2018/19,Apr-18,Belfast,RBHSC,Type 1,"2,564.00",636,0,"3,200.00"
2018/19,Apr-18,Belfast,Royal Victoria (RAES),Type 2,"1,164.00",203,2,"1,369.00"
2018/19,Apr-18,Northern,Antrim Area,Type 1,"4,449.00","2,130.00",269,"6,848.00"
2018/19,Apr-18,Northern,Causeway,Type 1,"2,881.00",953,63,"3,897.00"
2018/19,Apr-18,Northern,Mid-Ulster,Type 3,875,0,0,875
2018/19,Apr-18,South Eastern,Ards MIU,Type 3,"1,006.00",0,0,"1,006.00"
2018/19,Apr-18,South Eastern,Bangor MIU,Type 3,900,0,0,900
2018/19,Apr-18,South Eastern,Downe,Type 2,"1,701.00",126,6,"1,833.00"
2018/19,Apr-18,South Eastern,Lagan Valley,Type 2,"1,681.00",341,20,"2,042.00"
2018/19,Apr-18,South Eastern,Ulster,Type 1,"4,799.00","2,464.00",436,"7,699.00"
2018/19,Apr-18,Southern,Craigavon Area,Type 1,"4,456.00","2,551.00",166,"7,173.00"
2018/19,Apr-18,Southern,Daisy Hill,Type 1,"3,501.00","1,205.00",71,"4,777.00"
2018/19,Apr-18,Southern,South Tyrone,Type 3,"2,936.00",0,0,"2,936.00"
2018/19,Apr-18,Western,Altnagelvin Area,Type 1,"3,754.00","1,634.00",45,"5,433.00"
2018/19,Apr-18,Western,South West Acute,Type 1,"2,006.00",882,38,"2,926.00"
2018/19,Apr-18,Western,Tyrone County,Type 3,"1,531.00",26,0,"1,557.00"
2018/19,May-18,Belfast,Mater,Type 1,"2,975.00","1,192.00",92,"4,259.00"
2018/19,May-18,Belfast,Royal Victoria,Type 1,"4,788.00","3,184.00",155,"8,127.00"
2018/19,May-18,Belfast,RBHSC,Type 1,"2,868.00",785,0,"3,653.00"
2018/19,May-18,Belfast,Royal Victoria (RAES),Type 2,"1,145.00",294,3,"1,442.00"
2018/19,May-18,Northern,Antrim Area,Type 1,"5,241.00","2,272.00",137,"7,650.00"
2018/19,May-18,Northern,Causeway,Type 1,"3,072.00","1,224.00",36,"4,332.00"
2018/19,May-18,Northern,Mid-Ulster,Type 3,991,0,0,991
